Location,Updated,WaitTimeInSeconds
S-NS,2023-07-12T06:06:00,63
VF0,2023-07-12T06:06:00,60
VF1,2023-07-12T06:06:00,402
VF2,2023-07-12T06:07:00,289
VF3,2023-07-12T06:06:00,311
VF4,2023-07-12T06:06:00,129
VH3,2023-07-12T06:06:00,60
AF2,2023-07-12T06:27:00,428
AF3,2023-07-12T06:27:00,312
EF-T,2023-07-12T06:27:00,60
GH-T,2023-07-12T06:27:00,60
NS-S,2023-07-12T06:27:00,1032
S-NS,2023-07-12T06:27:00,60
VF0,2023-07-12T06:27:00,60
VF1,2023-07-12T06:27:00,386
VF2,2023-07-12T06:27:00,215
VF3,2023-07-12T06:27:00,301
VF4,2023-07-12T06:27:00,60
VH3,2023-07-12T06:27:00,60
AF2,2023-07-12T06:37:00,198
AF3,2023-07-12T06:37:00,1810
EF-T,2023-07-12T06:37:00,186
GH-T,2023-07-12T06:37:00,60
NS-S,2023-07-12T06:37:00,506
S-NS,2023-07-12T06:37:00,60
VF0,2023-07-12T06:37:00,60
VF1,2023-07-12T06:37:00,394
VF2,2023-07-12T06:37:00,258
VF3,2023-07-12T06:36:00,325
VF4,2023-07-12T06:37:00,60
VH3,2023-07-12T06:36:00,60
AF2,2023-07-12T06:45:00,60
AF3,2023-07-12T06:45:00,1237
EF-T,2023-07-12T06:45:00,70
GH-T,2023-07-12T06:45:00,60
NS-S,2023-07-12T06:45:00,284
S-NS,2023-07-12T06:45:00,60
VF0,2023-07-12T06:45:00,60
VF1,2023-07-12T06:45:00,253
VF2,2023-07-12T06:45:00,254
VF3,2023-07-12T06:45:00,347
VF4,2023-07-12T06:45:00,60
VH3,2023-07-12T06:45:00,60
AF2,2023-07-12T07:03:00,60
AF3,2023-07-12T07:03:00,759
EF-T,2023-07-12T07:03:00,60
GH-T,2023-07-12T07:03:00,84
NS-S,2023-07-12T07:03:00,92
S-NS,2023-07-12T07:03:00,103
VF0,2023-07-12T07:03:00,60
VF1,2023-07-12T07:03:00,383
VF2,2023-07-12T07:03:00,298
VF3,2023-07-12T07:03:00,299
VF4,2023-07-12T07:03:00,60
VH3,2023-07-12T07:03:00,91
AF2,2023-07-12T07:26:00,60
AF3,2023-07-12T07:26:00,133
EF-T,2023-07-12T07:26:00,60
GH-T,2023-07-12T07:26:00,60
NS-S,2023-07-12T07:26:00,571
S-NS,2023-07-12T07:26:00,60
VF0,2023-07-12T07:26:00,85
VF1,2023-07-12T07:26:00,342
VF2,2023-07-12T07:26:00,303
VF3,2023-07-12T07:26:00,351
VF4,2023-07-12T07:26:00,60
VH3,2023-07-12T07:26:00,60
AF2,2023-07-12T07:33:00,60
AF3,2023-07-12T07:33:00,60
EF-T,2023-07-12T07:33:00,60
GH-T,2023-07-12T07:33:00,60
NS-S,2023-07-12T07:33:00,607
S-NS,2023-07-12T07:33:00,60
VF0,2023-07-12T07:33:00,60
VF1,2023-07-12T07:33:00,361
VF2,2023-07-12T07:33:00,307
VF3,2023-07-12T07:33:00,365
VF4,2023-07-12T07:33:00,60
VH3,2023-07-12T07:33:00,91
AF2,2023-07-12T07:45:00,120
AF3,2023-07-12T07:45:00,270
EF-T,2023-07-12T07:45:00,100
GH-T,2023-07-12T07:45:00,60
NS-S,2023-07-12T07:45:00,460
S-NS,2023-07-12T07:45:00,60
VF0,2023-07-12T07:45:00,60
VF1,2023-07-12T07:45:00,295
VF2,2023-07-12T07:45:00,233
VF3,2023-07-12T07:45:00,314
VF4,2023-07-12T07:45:00,60
VH3,2023-07-12T07:45:00,60
AF2,2023-07-12T08:07:00,747
AF3,2023-07-12T08:07:00,609
EF-T,2023-07-12T08:07:00,648
GH-T,2023-07-12T08:07:00,922
NS-S,2023-07-12T08:07:00,430
S-NS,2023-07-12T08:07:00,60
VF0,2023-07-12T08:07:00,60
VF1,2023-07-12T08:07:00,373
VF2,2023-07-12T08:07:00,508
VF3,2023-07-12T08:07:00,437
VF4,2023-07-12T08:07:00,60
VH3,2023-07-12T08:07:00,120
AF2,2023-07-12T08:29:00,110
AF3,2023-07-12T08:29:00,609
EF-T,2023-07-12T08:29:00,102
GH-T,2023-07-12T08:26:00,869
